Fixed parameters: I=9.5 | j=5.5
The set of valid parameters for  2-axis quantization are:
I1=51.0  I2=61.0  I3=41.0 θ=-120.0
I1=51.0  I2=61.0  I3=41.0 θ=-110.0
I1=51.0  I2=61.0  I3=41.0 θ=-100.0
I1=51.0  I2=61.0  I3=41.0 θ=-90.0
I1=51.0  I2=61.0  I3=41.0 θ=-80.0
I1=51.0  I2=61.0  I3=41.0 θ=-70.0
I1=51.0  I2=61.0  I3=41.0 θ=-60.0
I1=61.0  I2=71.0  I3=51.0 θ=-130.0
I1=61.0  I2=71.0  I3=51.0 θ=-120.0
I1=61.0  I2=71.0  I3=51.0 θ=-110.0
I1=61.0  I2=71.0  I3=51.0 θ=-100.0
I1=61.0  I2=71.0  I3=51.0 θ=-90.0
I1=61.0  I2=71.0  I3=51.0 θ=-80.0
I1=61.0  I2=71.0  I3=51.0 θ=-70.0
I1=61.0  I2=71.0  I3=51.0 θ=-60.0
I1=61.0  I2=71.0  I3=51.0 θ=-50.0
I1=71.0  I2=81.0  I3=61.0 θ=-140.0
I1=71.0  I2=81.0  I3=61.0 θ=-130.0
I1=71.0  I2=81.0  I3=61.0 θ=-120.0
I1=71.0  I2=81.0  I3=61.0 θ=-110.0
I1=71.0  I2=81.0  I3=61.0 θ=-100.0
I1=71.0  I2=81.0  I3=61.0 θ=-90.0
I1=71.0  I2=81.0  I3=61.0 θ=-80.0
I1=71.0  I2=81.0  I3=61.0 θ=-70.0
I1=71.0  I2=81.0  I3=61.0 θ=-60.0
I1=71.0  I2=81.0  I3=61.0 θ=-50.0
I1=71.0  I2=81.0  I3=61.0 θ=-40.0
I1=71.0  I2=91.0  I3=61.0 θ=-120.0
I1=71.0  I2=91.0  I3=61.0 θ=-110.0
I1=71.0  I2=91.0  I3=61.0 θ=-100.0
I1=71.0  I2=91.0  I3=61.0 θ=-90.0
I1=71.0  I2=91.0  I3=61.0 θ=-80.0
I1=71.0  I2=91.0  I3=61.0 θ=-70.0
I1=71.0  I2=91.0  I3=61.0 θ=-60.0
I1=81.0  I2=91.0  I3=61.0 θ=-120.0
I1=81.0  I2=91.0  I3=61.0 θ=-110.0
I1=81.0  I2=91.0  I3=61.0 θ=-100.0
I1=81.0  I2=91.0  I3=61.0 θ=-90.0
I1=81.0  I2=91.0  I3=61.0 θ=-80.0
I1=81.0  I2=91.0  I3=61.0 θ=-70.0
I1=81.0  I2=91.0  I3=61.0 θ=-60.0
I1=81.0  I2=91.0  I3=71.0 θ=-150.0
