51.0  31.0 41.0 70.0 | A=-0.002449592196810813 u=-0.9761626387058332 k=0.9880094324984116
51.0  31.0 41.0 80.0 | A=-0.002870814607676687 u=-0.8329344487093958 k=0.9126524249183782
51.0  31.0 41.0 90.0 | A=-0.0030127500915476555 u=-0.793693572294839 k=0.890894815505646
51.0  31.0 41.0 100.0 | A=-0.002870814607676687 u=-0.8329344487093958 k=0.9126524249183782
51.0  31.0 41.0 110.0 | A=-0.002449592196810813 u=-0.9761626387058332 k=0.9880094324984116
61.0  41.0 51.0 60.0 | A=-0.0021159767671878613 u=-0.7595547749269544 k=0.8715243972069597
61.0  41.0 51.0 70.0 | A=-0.0026361308108335613 u=-0.6096815266325246 k=0.7808210592911314
61.0  41.0 51.0 80.0 | A=-0.002954616048317515 u=-0.5439624746055411 k=0.737538117391597
61.0  41.0 51.0 90.0 | A=-0.0030619331214882476 u=-0.5248972441210158 k=0.7244979255463854
61.0  41.0 51.0 100.0 | A=-0.002954616048317515 u=-0.5439624746055411 k=0.737538117391597
61.0  41.0 51.0 110.0 | A=-0.0026361308108335613 u=-0.6096815266325246 k=0.7808210592911314
61.0  41.0 51.0 120.0 | A=-0.0021159767671878613 u=-0.7595547749269544 k=0.8715243972069597
61.0  51.0 41.0 90.0 | A=-0.004068754335211221 u=-0.9827087875868362 k=0.9913166938909261
71.0  41.0 61.0 70.0 | A=-0.0014816630204849118 u=-0.7791702798729637 k=0.8827062251241711
71.0  41.0 61.0 80.0 | A=-0.0018001482579688656 u=-0.6413181721216967 k=0.8008234337990471
71.0  41.0 61.0 90.0 | A=-0.001907465331139598 u=-0.6052365783544402 k=0.7779695227670813
71.0  41.0 61.0 100.0 | A=-0.0018001482579688656 u=-0.6413181721216967 k=0.8008234337990471
71.0  41.0 61.0 110.0 | A=-0.0014816630204849118 u=-0.7791702798729637 k=0.8827062251241711
71.0  51.0 61.0 50.0 | A=-0.0015863195685983803 u=-0.7277649555623268 k=0.8530914110236527
71.0  51.0 61.0 60.0 | A=-0.0021538118286603004 u=-0.5360114449119466 k=0.7321280249464206
71.0  51.0 61.0 70.0 | A=-0.0025719748833558627 u=-0.4488643329371562 k=0.6699733822601882
71.0  51.0 61.0 80.0 | A=-0.002828012035058649 u=-0.4082259113599237 k=0.6389255914110216
71.0  51.0 61.0 90.0 | A=-0.002914286544862571 u=-0.39614079555210335 k=0.6293971683699437
71.0  51.0 61.0 100.0 | A=-0.002828012035058649 u=-0.4082259113599237 k=0.6389255914110216
71.0  51.0 61.0 110.0 | A=-0.0025719748833558627 u=-0.4488643329371562 k=0.6699733822601882
71.0  51.0 61.0 120.0 | A=-0.0021538118286603004 u=-0.5360114449119466 k=0.7321280249464206
71.0  51.0 61.0 130.0 | A=-0.0015863195685983803 u=-0.7277649555623268 k=0.8530914110236527
